0.0087,-0.0003,0.3498
0.0087,-0.0006,0.3498
0.0087,-0.0009,0.3498
0.0086,-0.0012,0.3498
0.0086,-0.0015,0.3498
0.0085,-0.0018,0.3498
0.0085,-0.0021,0.3498
0.0084,-0.0024,0.3498
0.0083,-0.0027,0.3498
0.0082,-0.003,0.3498
0.0081,-0.0033,0.3498
0.008,-0.0035,0.3498
0.0078,-0.0038,0.3498
0.0077,-0.0041,0.3498
0.0076,-0.0044,0.3498
0.0074,-0.0046,0.3498
0.0072,-0.0049,0.3498
0.0071,-0.0051,0.3498
0.0069,-0.0054,0.3498
0.0067,-0.0056,0.3498
0.0065,-0.0058,0.3498
0.0063,-0.0061,0.3498
0.0061,-0.0063,0.3498
0.0058,-0.0065,0.3498
0.0056,-0.0067,0.3498
0.0054,-0.0069,0.3498
0.0051,-0.0071,0.3498
0.0049,-0.0072,0.3498
0.0046,-0.0074,0.3498
0.0044,-0.0076,0.3498
0.0041,-0.0077,0.3498
0.0038,-0.0078,0.3498
0.0035,-0.008,0.3498
0.0033,-0.0081,0.3498
0.003,-0.0082,0.3498
0.0027,-0.0083,0.3498
0.0024,-0.0084,0.3498
0.0021,-0.0085,0.3498
0.0018,-0.0085,0.3498
0.0015,-0.0086,0.3498
0.0012,-0.0086,0.3498
0.0009,-0.0087,0.3498
0.0006,-0.0087,0.3498
0.0003,-0.0087,0.3498
-0.0,-0.0087,0.3498
-0.0003,-0.0087,0.3498
-0.0006,-0.0087,0.3498
-0.0009,-0.0087,0.3498
-0.0012,-0.0086,0.3498
-0.0015,-0.0086,0.3498
-0.0018,-0.0085,0.3498
-0.0021,-0.0085,0.3498
-0.0024,-0.0084,0.3498
-0.0027,-0.0083,0.3498
-0.003,-0.0082,0.3498
-0.0033,-0.0081,0.3498
-0.0035,-0.008,0.3498
-0.0038,-0.0078,0.3498
-0.0041,-0.0077,0.3498
-0.0044,-0.0076,0.3498
-0.0046,-0.0074,0.3498
-0.0049,-0.0072,0.3498
-0.0051,-0.0071,0.3498
-0.0054,-0.0069,0.3498
-0.0056,-0.0067,0.3498
-0.0058,-0.0065,0.3498
-0.0061,-0.0063,0.3498
-0.0063,-0.0061,0.3498
-0.0065,-0.0058,0.3498
-0.0067,-0.0056,0.3498
-0.0069,-0.0054,0.3498
-0.0071,-0.0051,0.3498
-0.0072,-0.0049,0.3498
-0.0074,-0.0046,0.3498
-0.0076,-0.0044,0.3498
-0.0077,-0.0041,0.3498
-0.0078,-0.0038,0.3498
-0.008,-0.0035,0.3498
-0.0081,-0.0033,0.3498
-0.0082,-0.003,0.3498
